2015,1,1,30,10,47
2015,1,2,73,44,101
2015,1,3,38,26,59
2015,1,4,39,-3,80
2015,1,5,24,9,38
2015,1,6,28,6,58
2015,1,7,45,24,72
2015,1,8,65,36,82
2015,1,9,99,58,137
2015,1,10,95,54,133
2015,1,11,64,49,82
2015,1,12,84,64,102
2015,1,13,86,41,110
2015,1,14,44,31,60
2015,1,15,79,58,103
2015,1,16,55,27,83
2015,1,17,30,-9,59
2015,1,18,22,10,33
2015,1,19,10,5,16
2015,1,20,8,-22,37
2015,1,21,-5,-19,15
2015,1,22,-12,-29,4
2015,1,23,-28,-57,-13
2015,1,24,22,-17,68
2015,1,25,37,-21,56
2015,1,26,59,41,83
2015,1,27,51,30,77
2015,1,28,53,30,72
2015,1,29,24,2,45
2015,1,30,17,-3,44
2015,1,31,10,-25,44
2015,2,1,26,-15,57
2015,2,2,20,6,55
2015,2,3,17,-16,63
2015,2,4,2,-40,53
2015,2,5,-7,-38,20
2015,2,6,-2,-20,31
2015,2,7,15,-51,55
2015,2,8,50,34,67
2015,2,9,57,44,72
2015,2,10,57,46,72
2015,2,11,42,31,54
2015,2,12,26,-3,45
2015,2,13,46,-3,99
2015,2,14,66,47,102
2015,2,15,26,-35,67
2015,2,16,9,-49,77
2015,2,17,33,-30,90
2015,2,18,18,-34,81
2015,2,19,35,-3,74
2015,2,20,53,34,65
2015,2,21,32,4,63
2015,2,22,32,-18,68
2015,2,23,59,27,98
2015,2,24,54,35,89
2015,2,25,48,16,87
2015,2,26,63,37,83
2015,2,27,49,-3,82
2015,2,28,51,-5,91
2015,3,1,83,60,107
2015,3,2,53,16,84
2015,3,3,44,30,75
2015,3,4,51,28,76
2015,3,5,57,11,103
2015,3,6,66,46,90
2015,3,7,84,40,139
2015,3,8,93,40,157
2015,3,9,88,67,113
2015,3,10,76,-7,113
2015,3,11,27,-20,95
2015,3,12,54,-29,127
2015,3,13,46,7,92
2015,3,14,34,7,53
2015,3,15,56,45,68
